nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded
ALUNO-34,12.0,2,8.500020000000001,7.698890666666667,Não,F,6.875,Ametista,8.125,7,0,3,5,9.3,7.944443333333334,R,-1.0,0,0
ALUNO-35,18.0,7,8.75001,6.64396,Não,F,6.25,Ágata,7.65625,5,0,2,5,6.1,8.29167,B,-1.0,0,0
ALUNO-36,14.0,3,9.58335,8.307780333333334,Não,F,7.5,Ametista,8.749999999999998,8,0,3,5,9.9,8.222226666666668,R,-1.0,0,0
ALUNO-37,10.0,2,10.000020000000001,6.6788913333333335,Não,M,4.375,Ágata,6.458333333333333,2.5,0,2,10,7.7,7.77778,R,0.0,1,0
ALUNO-39,13.0,3,6.24999,8.131388333333334,Não,F,7.5,Ametista,8.541666666666666,8.333333333333334,0,3,10,9.4,6.777780000000001,P,0.0,1,0
ALUNO-41,11.0,1,8.000020000000001,7.460002,Não,M,7.5,Ametista,7.5,7.25,0,3,5,8.3,7.75,R,-1.0,0,0
ALUNO-43,13.0,4,7.5,7.8052090000000005,Não,F,7.5,Ametista,7.96875,7,0,3,10,7.5,8.04167,R,1.0,0,0
ALUNO-44,9.0,1,9.000020000000001,6.218335,Não,M,7.5,Ágata,6.25,0,0,2,10,6.8,7.916665,R,0.0,1,0
ALUNO-45,11.0,1,8.500020000000001,6.631252,Não,M,7.5,Ágata,7.8125,10,0,2,5,1,7.75,B,-1.0,0,0
ALUNO-46,8.0,0,9.500020000000001,6.966669,Não,F,7.5,Ágata,7.5,0,0,2,10,10,7.583335,R,0.0,1,0
ALUNO-51,8.0,0,9.500020000000001,8.955835,Não,M,7.5,Topázio,8.125,10,0,4,10,9.8,7.416665,R,0.0,1,0
ALUNO-52,10.0,2,10.000020000000001,8.181112666666667,Não,M,6.25,Ametista,7.916666666666668,7,0,3,10,8.6,8.22222,R,0.0,1,0
ALUNO-53,15.0,5,9.16668,8.696667999999999,,F,7.5,Topázio,0,8.2,1,4,10,10,0,B,0.0,1,1
ALUNO-55,17.0,6,0,6.878125166666666,Sim,F,7.5,Ágata,8.28125,6.333333333333333,1,2,5,9,8.666667499999999,B,-1.0,0,1
ALUNO-57,16.0,6,8.33334,7.311667166666667,Não,M,6.25,Ametista,7.5,5.833333333333333,1,3,10,7.1,7.5833325,B,0.0,1,0
ALUNO-59,13.0,3,8.75001,6.563055666666668,Não,M,7.5,Ágata,7.291666666666667,6,0,2,10,3.6,6.444439999999998,R,0.0,1,0
ALUNO-60,17.0,5,7.5,7.679582333333333,Não,M,6.875,Ametista,8.4375,6.666666666666667,1,3,5,9.7,8.124995,R,-2.0,0,0
ALUNO-61,10.0,1,9.000020000000001,5.604168666666667,Não,F,7.5,Quartzo,6.875,0,0,1,5,6.5,7.333333333333333,P,-1.0,0,0
ALUNO-62,12.0,2,7.9166799999999995,6.330001333333334,Não,M,7.5,Ágata,7.083333333333333,3.5,0,2,5,6.9,7.5,B,-1.0,0,0
ALUNO-68,10.0,1,9.000020000000001,5.988752,Não,M,7.5,Quartzo,7.1875,0,0,1,5,7.6,8,R,-1.0,0,0
ALUNO-71,10.0,0,8.500020000000001,7.550001,Não,F,5,Ametista,2.5,9.5,0,3,5,10,7.749995,P,-2.0,0,0
ALUNO-75,11.0,3,10.000020000000001,9.687504,Sim,F,10,Topázio,9.375,9,1,4,10,10,9.75001,R,1.0,0,1
ALUNO-76,7.0,0,8.91668,8.958334,Não,F,10,Topázio,7.5,10,0,4,10,10,6.58333,B,0.0,1,0
ALUNO-78,10.0,1,9.500020000000001,7.352085,Não,F,7.5,Ametista,7.1875,5.5,0,3,5,9,7.666665,R,-1.0,0,0
ALUNO-80,10.0,2,6.9166799999999995,6.499723333333334,Não,M,7.5,Ágata,7.291666666666667,0,0,2,10,9.2,7.444443333333333,B,0.0,1,0
ALUNO-81,15.0,4,5.41667,7.386391000000001,Sim,F,7.5,Ametista,8.125,6,0,3,5,8.8,9.11112,A,-1.0,0,1
ALUNO-82,9.0,0,8.500020000000001,7.954169,Não,F,7.5,Ametista,6.875,8.5,0,3,5,10,7.333335,B,-1.0,0,0
ALUNO-83,14.0,4,9.16668,8.155003333333333,Sim,F,5.625,Ametista,8.958333333333332,5.333333333333333,1,3,10,9.4,9.166676666666666,B,0.0,1,1
ALUNO-84,8.0,0,9.000020000000001,8.750001000000001,Não,F,10,Topázio,7.5,8.5,0,4,10,10,6.999995,B,0.0,1,0
ALUNO-85,9.0,0,9.500020000000001,7.263334,Não,M,2.5,Ágata,2.5,10,0,2,5,9.9,6.66666,B,-1.0,0,0
ALUNO-86,17.0,6,8.33334,5.688333833333334,Não,M,7.5,Quartzo,7.5,3.6666666666666665,0,1,5,4.9,5.7083325,R,-1.0,0,0
ALUNO-87,14.0,4,8.33334,8.188612666666666,Sim,F,5.625,Ametista,8.749999999999998,6.666666666666667,1,3,10,9.2,8.722226666666666,B,0.0,1,1
ALUNO-88,11.0,2,10.000020000000001,9.040420000000001,Sim,F,7.5,Topázio,5.9375,9.5,1,4,10,9.4,9.58334,B,0.0,1,1
ALUNO-89,9.0,0,10.000020000000001,7.937502,Não,F,7.5,Ametista,6.875,7.5,0,3,5,10,7.5,P,-1.0,0,0
ALUNO-90,14.0,3,8.33334,7.073542833333333,Não,M,7.5,Ágata,7.96875,7.666666666666667,0,2,5,5.8,7.5000025,R,-1.0,0,0
ALUNO-91,10.0,2,9.000020000000001,6.846668,Não,F,6.875,Ágata,5.625,4.5,0,2,10,6.4,7.58333,B,0.0,1,0
ALUNO-94,12.0,3,7.08333,6.7552085,Não,F,7.5,Ágata,7.96875,4,0,2,10,6,7.5000025,B,0.0,1,0
ALUNO-95,15.0,3,9.58335,7.336876333333333,Não,F,7.5,Ametista,7.96875,6.666666666666667,0,3,5,8.2,6.791665,R,-2.0,0,0
ALUNO-96,18.0,7,9.16668,6.432500999999999,Sim,M,6.875,Ágata,7.5,3,0,2,5,6.1,8.791664999999998,R,-1.0,0,1
ALUNO-97,12.0,2,9.500020000000001,7.393752,Não,F,7.5,Ametista,8.4375,6,0,3,5,8,7.75,R,-1.0,0,0
ALUNO-100,12.0,1,9.000020000000001,6.908335000000001,Não,F,4.375,Ágata,6.875,7.5,0,2,5,6.5,7.916665,R,-2.0,0,0
ALUNO-102,9.0,1,8.000020000000001,7.966668666666667,Não,M,7.5,Ametista,7.5,7,0,3,10,8.5,7.833333333333333,R,0.0,1,0
ALUNO-103,8.0,0,9.000020000000001,8.597919000000001,Não,F,7.5,Topázio,7.8125,8.5,0,4,10,10,7.333335,B,0.0,1,0
ALUNO-105,13.0,3,9.16668,8.516877,Não,F,7.5,Topázio,7.96875,8,0,4,10,9.6,7.66667,B,0.0,1,0
ALUNO-106,10.0,0,9.500020000000001,8.450002,Não,F,7.5,Ametista,7.5,10,0,3,5,10,7.5,R,-2.0,0,0
ALUNO-111,14.0,3,7.91667,6.8535425,Não,F,7.5,Ágata,7.96875,4.5,0,2,5,7.7,7.8750025,B,-1.0,0,0
ALUNO-112,14.0,3,7.91667,6.448887666666667,Não,F,4.375,Ágata,7.708333333333334,5.333333333333333,0,2,5,6.8,7.611103333333333,B,-1.0,0,0
ALUNO-113,11.0,1,8.500020000000001,7.693335000000001,Não,F,7.5,Ametista,7.5,7.5,0,3,5,8.8,7.916665,P,-1.0,0,0
ALUNO-115,15.0,4,9.16668,5.331389333333334,Não,M,6.875,Quartzo,7.916666666666667,5.166666666666667,0,1,5,1.9,5.111106666666666,R,-1.0,0,0
ALUNO-117,10.0,1,8.000020000000001,8.032085,Não,F,7.5,Ametista,7.1875,9.5,0,3,5,8.9,7.916665,P,-1.0,0,0
ALUNO-118,8.0,1,8.500020000000001,8.342085,Não,F,7.5,Ametista,7.1875,10,0,3,10,7.7,7.416665,R,0.0,1,0
ALUNO-120,9.0,0,9.000020000000001,7.895835000000001,Não,F,8.125,Ametista,2.5,9.5,0,3,5,10,7.666665,B,-1.0,0,0
ALUNO-125,10.0,1,9.000020000000001,7.187502,Não,M,7.5,Ágata,7.708333333333334,5,0,2,5,9,7.333333333333333,R,-1.0,0,0
ALUNO-128,9.0,0,7.4166799999999995,5.854169000000001,Não,F,5.625,Quartzo,2.5,5.5,0,1,5,10,3.500005,B,-1.0,0,0
ALUNO-132,14.0,4,8.75001,7.344792,Não,F,7.5,Ametista,8.28125,6,0,3,10,6.5,6.95833,R,0.0,1,0
ALUNO-133,10.0,0,10.000020000000001,8.428752,Não,M,7.5,Ametista,7.1875,10,0,3,5,9.8,7.5,R,-2.0,0,0
ALUNO-135,9.0,1,9.000020000000001,7.798752,Não,F,7.5,Ametista,7.1875,6.5,0,3,10,8.4,7.25,B,0.0,1,0
ALUNO-136,16.0,5,7.5,4.643056,Não,F,4.375,Quartzo,6.666666666666667,2,0,1,5,4,5.444446666666667,R,-1.0,0,0
ALUNO-139,17.0,5,9.16668,6.105834000000001,Não,F,7.5,Ágata,8.125,4.333333333333333,0,2,5,5.8,5.499996666666667,R,-2.0,0,0
ALUNO-145,17.0,7,7.91667,8.345001166666666,Sim,M,7.5,Ametista,7.5,7.333333333333333,1,3,10,9.1,8.8333375,R,0.0,1,1
ALUNO-146,9.0,1,10.000020000000001,6.385835333333334,Não,F,7.5,Ágata,7.291666666666667,0,0,2,10,7.2,7.333333333333333,B,0.0,1,0
ALUNO-147,13.0,2,9.000020000000001,5.934724000000001,Não,F,7.5,Quartzo,7.291666666666667,0,0,1,5,8,7.277776666666666,R,-1.0,0,0
ALUNO-149,16.0,6,7.5,7.131667,Não,F,5.625,Ágata,8.125,3,0,2,10,8.7,8.333335,B,0.0,1,0
ALUNO-151,11.0,1,9.500020000000001,8.238891333333333,Não,M,7.5,Ametista,9.166666666666666,7.5,0,3,5,9.5,8.611113333333334,B,-1.0,0,0
ALUNO-152,11.0,3,6.24999,7.963542166666667,Não,F,7.5,Ametista,7.96875,6.333333333333333,1,3,10,9,8.6250075,B,1.0,0,0
ALUNO-153,13.0,4,10.000020000000001,8.167711833333334,Sim,M,7.5,Ametista,8.59375,4.666666666666667,1,3,10,9,9.125007499999999,P,1.0,0,1
ALUNO-154,10.0,1,8.500020000000001,5.8845849999999995,Não,M,7.5,Quartzo,7.8125,0,0,1,5,7.1,7.916665,B,-1.0,0,0
ALUNO-156,12.0,2,7.9166799999999995,7.1105566666666675,Não,M,7.5,Ágata,6.666666666666667,5,1,2,5,8.9,8.11111,B,-1.0,0,0
ALUNO-157,10.0,1,9.500020000000001,7.177224000000001,Não,M,7.5,Ágata,7.916666666666668,6.75,0,2,5,6.4,7.777776666666667,B,-1.0,0,0
ALUNO-158,14.0,3,9.16668,6.064722,Não,F,3.75,Quartzo,7.708333333333334,5,0,1,5,5.9,6.611103333333333,B,-1.0,0,0
ALUNO-160,10.0,1,8.000020000000001,4.478057333333334,Não,F,5,Quartzo,7.291666666666667,0,0,1,5,2.3,7.444443333333333,R,-1.0,0,0
ALUNO-162,10.0,1,8.500020000000001,7.953752000000001,Não,M,7.5,Ametista,8.4375,8.5,0,3,5,8.8,7.75,P,-1.0,0,0
ALUNO-163,12.0,1,7.50002,6.440002,Não,M,5,Ágata,2.5,6.25,0,2,5,8.2,7.75,R,-2.0,0,0
ALUNO-164,10.0,1,9.500020000000001,7.708752,Não,F,7.5,Ametista,7.1875,7.5,0,3,5,8.7,7.75,B,-1.0,0,0
ALUNO-165,11.0,0,9.000020000000001,8.431252,Não,F,7.5,Ametista,7.8125,10,0,3,5,10,7.5,B,-2.0,0,0
ALUNO-168,11.0,1,10.000020000000001,8.082224,Não,F,7.5,Ametista,7.5,8.5,0,3,5,8.8,8.11111,R,-1.0,0,0
ALUNO-169,8.0,0,9.000020000000001,7.800001000000001,Não,F,5,Ametista,2.5,10,0,3,10,10,5.749995,R,0.0,1,0
ALUNO-173,16.0,5,7.91667,3.7383341666666663,Não,F,3.125,Quartzo,5.625,2.8333333333333335,0,1,5,0.9,4.1250025,R,-1.0,0,0
ALUNO-174,15.0,5,9.16668,7.921668,,M,5.625,Ametista,0,7.2,1,3,10,10,0,R,0.0,1,1
ALUNO-183,11.0,0,9.000020000000001,7.862503,Não,M,8.125,Ametista,2.5,10,0,3,5,10,7.000005,R,-2.0,0,0
ALUNO-184,9.0,1,10.000020000000001,8.257224,Não,M,7.5,Ametista,7.916666666666668,7.5,0,3,10,8.3,7.777776666666667,R,0.0,1,0
ALUNO-186,16.0,3,8.75001,6.314166333333334,Não,F,7.5,Ágata,8.125,5.666666666666667,0,2,2.5,5.8,6.66666,B,-3.0,0,0
ALUNO-187,10.0,2,8.500020000000001,6.41389,Não,F,7.5,Ágata,7.916666666666667,0,0,2,10,8,7.111106666666665,B,0.0,1,0
ALUNO-188,13.0,3,7.08333,7.744167,Sim,F,7.5,Ametista,8.125,9,0,3,10,4.7,8.66667,R,0.0,1,1
ALUNO-189,10.0,1,8.000020000000001,7.2558353333333345,Não,F,5,Ágata,7.291666666666667,8,0,2,5,8.3,7.333333333333333,R,-1.0,0,0
ALUNO-190,17.0,7,8.33334,8.733751333333334,Sim,M,6.875,Topázio,9.0625,7.666666666666667,1,4,10,9.2,9.666670000000002,B,0.0,1,1
ALUNO-192,11.0,1,7.4166799999999995,4.854723333333333,Não,F,5,Quartzo,6.041666666666666,0,0,1,5,5.1,7.444443333333333,B,-1.0,0,0
ALUNO-193,13.0,3,10.000020000000001,8.539168666666667,Sim,F,5,Topázio,8.125,7,0,4,10,9.8,9.333333333333332,R,0.0,1,1
ALUNO-194,17.0,6,8.33334,7.1214596666666665,Não,M,6.875,Ágata,7.65625,6.333333333333333,1,2,5,8.3,7.04167,R,-1.0,0,0
ALUNO-197,12.0,3,8.33334,8.832500666666666,Não,M,7.5,Topázio,8.958333333333332,8.666666666666666,0,4,10,9.6,8.5,B,0.0,1,0
ALUNO-198,16.0,6,0,5.518958,Não,M,5.625,Quartzo,5.78125,4.5,0,1,10,6.1,6.291665,B,0.0,1,0
ALUNO-199,14.0,3,6.25,6.658610666666666,Não,F,7.5,Ágata,8.125,7.666666666666667,0,2,5,4.8,7.388886666666666,B,-1.0,0,0
ALUNO-200,13.0,4,7.91667,7.355834833333334,Não,M,7.5,Ametista,8.125,5.666666666666667,0,3,10,5.8,8.5416725,B,1.0,0,0
ALUNO-201,14.0,3,7.08333,7.718541500000001,Não,M,7.5,Ametista,7.96875,8,0,3,5,9.4,7.4166675,B,-1.0,0,0
ALUNO-202,12.0,2,0,3.7799986666666667,Não,F,6.875,Quartzo,6.458333333333334,0,0,1,5,2.9,6.833326666666666,B,-1.0,0,0
ALUNO-206,16.0,6,0,5.2162495,Não,M,7.5,Quartzo,7.8125,2,0,1,10,4.3,7.1249975,B,0.0,1,0
ALUNO-208,11.0,2,9.000020000000001,7.8425020000000005,Não,F,7.5,Ametista,8.125,5,0,3,10,9.4,7.5,B,0.0,1,0
ALUNO-209,9.0,0,9.500020000000001,9.075004,Sim,M,6.25,Topázio,10,10,0,4,5,10,10.00001,R,-1.0,0,1
ALUNO-210,13.0,5,10.000020000000001,8.213058666666669,Não,M,7.5,Ametista,8.541666666666666,5.666666666666667,1,3,10,9.1,8.277783333333332,B,2.0,0,0
ALUNO-212,8.0,0,7.4166799999999995,6.345836,Não,M,4.375,Ágata,2.5,7,0,2,10,10,2.5833399999999997,R,0.0,1,0
ALUNO-213,12.0,2,9.000020000000001,8.081669333333334,Não,F,5,Ametista,8.749999999999998,9,0,3,5,9.7,7.833336666666668,B,-1.0,0,0
ALUNO-215,9.0,1,9.500020000000001,8.874585000000002,Não,F,7.5,Topázio,7.8125,10,0,4,10,9.3,7.666665,B,0.0,1,0
ALUNO-217,9.0,1,8.000020000000001,8.942503,Sim,F,7.5,Topázio,8.125,9.5,0,4,10,9.4,9.000005,B,0.0,1,1
ALUNO-219,11.0,2,9.500020000000001,7.832084999999999,Não,F,8.75,Ametista,8.4375,5,0,3,10,7.9,7.916665,B,0.0,1,0
ALUNO-222,8.0,1,9.000020000000001,8.478752,Não,M,7.5,Topázio,7.1875,9.5,0,4,10,7.8,8.25,B,0.0,1,0
ALUNO-223,10.0,1,9.000020000000001,6.59278,Não,M,6.875,Ágata,8.541666666666668,5,0,2,5,5.2,8.055556666666668,R,-1.0,0,0
ALUNO-225,14.0,4,9.58335,8.845558333333333,Não,F,7.5,Topázio,8.749999999999998,8.333333333333334,0,4,10,9.7,8.277783333333334,P,0.0,1,0
ALUNO-226,11.0,2,8.500020000000001,7.849446666666667,Não,M,5.625,Ametista,8.125,7.5,1,3,10,7.4,8.222223333333332,R,0.0,1,0
ALUNO-227,15.0,3,8.75001,5.981250166666666,Não,F,7.5,Quartzo,7.8125,6.333333333333333,0,1,5,3,6.0416625,R,-2.0,0,0
ALUNO-229,10.0,1,7.33334,5.890556,Não,F,7.5,Quartzo,7.916666666666668,0,0,1,5,7.8,7.777776666666667,B,-1.0,0,0
ALUNO-230,14.0,3,8.75001,5.0047223333333335,Não,M,4.375,Quartzo,5.833333333333333,2.3333333333333335,1,1,5,6.1,4.611106666666667,B,-1.0,0,0
ALUNO-231,16.0,6,8.33334,5.9597921666666664,Não,F,5,Quartzo,7.03125,4.333333333333333,0,1,10,3.7,6.5833325,B,0.0,1,0
ALUNO-235,12.0,3,8.333350000000001,8.125001833333334,Não,F,7.5,Ametista,7.5,7.666666666666667,1,3,10,9,7.2916675,B,0.0,1,0
ALUNO-238,13.0,2,9.000020000000001,6.492502,Não,M,5,Ágata,5.625,4,0,2,5,8.4,7.75,R,-1.0,0,0
ALUNO-241,11.0,1,9.000020000000001,7.285002,Não,M,6.25,Ametista,2.5,9.5,0,3,5,8.8,6.75,B,-1.0,0,0
ALUNO-242,11.0,1,9.000020000000001,6.707085000000001,Não,M,6.25,Ágata,7.1875,5.5,0,2,5,7.4,6.916665,B,-1.0,0,0
ALUNO-246,10.0,1,9.500020000000001,7.6391686666666665,Não,F,6.875,Ametista,7.083333333333333,8,0,3,5,8.3,7.666666666666666,R,-1.0,0,0
ALUNO-251,9.0,1,8.500020000000001,8.575835333333334,Não,F,7.5,Topázio,7.291666666666667,10,0,4,10,8.9,7.333333333333333,B,0.0,1,0
ALUNO-259,17.0,7,9.16668,8.753335833333333,Sim,M,7.5,Topázio,8.75,7.666666666666667,1,4,10,9.1,9.2916725,R,0.0,1,1
ALUNO-261,16.0,3,9.16668,7.251668666666667,Não,M,7.5,Ágata,7.5,6.333333333333333,0,2,2.5,8.8,7.79167,R,-3.0,0,0
ALUNO-262,15.0,5,7.91667,8.221251333333335,Sim,M,5,Ametista,9.0625,6.666666666666667,1,3,10,9.2,9.250005,R,0.0,1,1
ALUNO-263,15.0,5,9.58335,8.386113666666667,Não,F,6.875,Ametista,8.958333333333332,6.333333333333333,1,3,10,9.5,8.388893333333336,B,0.0,1,0
ALUNO-265,15.0,4,8.75001,7.630557666666667,Não,F,6.875,Ametista,8.125,6,0,3,5,10,7.777783333333335,B,-1.0,0,0
ALUNO-266,9.0,1,8.500020000000001,8.336252,Não,M,5.625,Ametista,8.4375,8.5,0,3,10,8.9,8,R,0.0,1,0
ALUNO-267,14.0,3,9.16668,8.370558666666668,Sim,M,5.625,Ametista,8.958333333333334,8,1,3,5,9.7,9.777786666666666,R,-1.0,0,1
ALUNO-269,11.0,1,7.50002,7.099168666666667,Não,M,7.5,Ágata,7.291666666666667,5.75,0,2,5,8.6,7.5,B,-1.0,0,0
ALUNO-270,11.0,3,6.66667,7.1900010000000005,Não,M,4.375,Ágata,8.125,8.666666666666666,0,2,10,4.2,8.500003333333334,B,1.0,0,0
ALUNO-273,14.0,1,9.000020000000001,4.386945333333334,Não,F,7.5,Quartzo,7.291666666666667,0,0,1,2.5,4.4,4.388883333333333,B,-3.0,0,0
ALUNO-274,16.0,5,7.91667,6.113055666666667,Não,F,7.5,Ágata,7.291666666666667,3.6666666666666665,0,2,5,5.6,7.444443333333334,R,-1.0,0,0
ALUNO-275,13.0,3,10.000020000000001,6.399376666666667,Não,F,7.5,Ágata,6.09375,4.333333333333333,0,2,10,5.2,5.666665,B,0.0,1,0
ALUNO-277,12.0,1,9.500020000000001,8.018889999999999,Não,M,5.625,Ametista,7.708333333333334,10,0,3,5,8.4,7.777773333333332,R,-2.0,0,0
ALUNO-278,17.0,5,8.75001,8.240834333333334,Não,M,9.375,Ametista,8.749999999999998,7.333333333333333,0,3,5,9.6,8.333333333333334,B,-2.0,0,0
ALUNO-280,10.0,1,8.500020000000001,6.6462520000000005,Não,M,5,Ágata,6.5625,6.5,0,2,5,6.2,8,R,-1.0,0,0
ALUNO-284,14.0,3,7.91667,7.901875833333333,Não,M,7.5,Ametista,7.96875,7.666666666666667,0,3,5,9.9,7.7500025,R,-1.0,0,0
ALUNO-285,11.0,2,9.500020000000001,5.112502,Não,F,7.5,Quartzo,8.125,1,0,1,10,0,7,B,0.0,1,0
ALUNO-286,12.0,1,8.000020000000001,6.956252,Não,F,6.875,Ágata,7.1875,7.5,0,2,5,6,7.75,B,-2.0,0,0
ALUNO-287,11.0,2,7.4166799999999995,8.302085,Sim,F,7.5,Ametista,8.4375,7.5,0,3,10,8.5,8.833335,B,0.0,1,1
ALUNO-288,12.0,2,9.000020000000001,6.840002,Não,F,7.5,Ágata,8.333333333333334,3.75,0,2,5,7.7,7.833333333333334,B,-1.0,0,0
ALUNO-292,15.0,4,10.000020000000001,8.485558666666666,Sim,M,6.875,Topázio,8.958333333333332,7.666666666666667,0,4,5,9.9,9.44445,B,-1.0,0,1
ALUNO-293,14.0,5,6.66667,4.4162505,Não,F,4.375,Quartzo,7.1875,0,0,1,10,1.3,6.6666675,R,1.0,0,0
ALUNO-295,9.0,1,9.000020000000001,7.586252,Não,M,4.375,Ametista,4.6875,7.25,0,3,10,8.9,7.75,B,0.0,1,0
ALUNO-296,10.0,2,9.000020000000001,7.713335,Não,F,7.5,Ametista,7.5,5,0,3,10,8.9,7.666665,R,0.0,1,0
ALUNO-297,15.0,3,8.33334,7.201112,Não,M,4.375,Ágata,8.125,6,0,2,5,8.7,8.38889,B,-2.0,0,0
ALUNO-298,11.0,1,8.500020000000001,6.3366690000000006,Não,M,5,Ágata,5,6.5,0,2,5,6.6,6.833335,R,-1.0,0,0
ALUNO-301,9.0,1,10.000020000000001,8.848335333333335,Não,M,7.5,Topázio,7.916666666666668,9.5,0,4,10,9.2,7.833333333333333,B,0.0,1,0
ALUNO-305,13.0,2,8.500020000000001,7.361390666666666,Não,F,7.5,Ametista,6.458333333333334,6.5,1,3,5,8.3,8.277776666666666,R,-1.0,0,0
ALUNO-306,17.0,7,6.66667,3.8914599999999995,Não,F,4.375,Quartzo,5.15625,0,0,1,10,1.4,4.95834,R,0.0,1,0
ALUNO-309,9.0,1,8.500020000000001,8.200002000000001,Não,F,7.5,Ametista,7.5,10,0,3,10,6.5,7.75,B,0.0,1,0
ALUNO-312,11.0,2,10.000020000000001,8.508890666666668,Não,M,7.5,Topázio,5.833333333333333,8.5,0,4,10,9.1,8.277776666666666,N,0.0,1,0
ALUNO-313,8.0,0,7.50002,7.9000010000000005,Não,F,7.5,Ametista,7.5,6.5,0,3,10,10,6.749995,B,0.0,1,0
ALUNO-315,13.0,4,9.16668,9.461114666666667,Sim,F,9.375,Topázio,8.958333333333332,8.666666666666666,0,4,10,10,9.8889,R,1.0,0,1
ALUNO-316,11.0,2,7.41668,6.4275009999999995,Não,M,7.5,Ágata,8.125,0,0,2,10,7.7,7.916665,R,0.0,1,0
ALUNO-318,9.0,0,9.000020000000001,8.300001000000002,Não,F,7.5,Ametista,7.5,10,0,3,5,10,6.999995,B,-1.0,0,0
ALUNO-319,11.0,2,9.000020000000001,7.1833350000000005,Não,F,7.5,Ágata,7.5,2,0,2,10,9.5,7.416665,B,0.0,1,0
ALUNO-321,16.0,6,4.58334,4.9156245,Não,M,7.5,Quartzo,6.40625,2,0,1,10,2,6.3333275,B,0.0,1,0
ALUNO-323,11.0,1,8.000020000000001,6.053335000000001,Não,M,5,Quartzo,2.5,4.5,1,1,5,9.1,6.416665,B,-1.0,0,0
ALUNO-324,16.0,6,8.75001,8.064375833333333,Não,M,7.5,Ametista,8.59375,6.666666666666667,0,3,10,7.9,8.333332500000001,R,0.0,1,0
ALUNO-328,14.0,3,7.5,6.858541000000001,Não,M,7.5,Ágata,7.96875,9,0,2,5,4.1,7.20833,B,-1.0,0,0
ALUNO-329,17.0,7,7.91667,7.9835415,Não,M,7.5,Ametista,7.96875,7,1,3,10,8.6,7.6249975,B,0.0,1,0
ALUNO-330,10.0,1,8.000020000000001,7.680002,Não,M,7.5,Ametista,7.5,8.5,0,3,5,7.9,8,R,-1.0,0,0
ALUNO-332,12.0,1,9.500020000000001,8.258057333333333,Não,F,7.5,Ametista,7.291666666666667,10,0,3,5,9.2,7.444443333333333,B,-2.0,0,0
ALUNO-335,8.0,0,8.500020000000001,7.470837,Não,M,4.375,Ametista,2.5,9.5,0,3,10,10,5.166675,B,0.0,1,0
ALUNO-337,14.0,5,8.33334,8.952223333333334,Sim,F,10,Topázio,9.166666666666666,7,1,4,10,9.9,9.111113333333332,A,1.0,0,1
ALUNO-338,17.0,7,8.33334,5.9127081666666665,Não,F,7.5,Quartzo,7.34375,4.333333333333333,0,1,10,2.1,6.5416625,P,0.0,1,0
