ANO,NOME,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,DEFASAGEM,FASE_IDEAL,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,INDICADO_BOLSA,__index_level_0__
2022,ALUNO-408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407
2021,ALUNO-28,Rede Decisão,NA,NA,1,9.079,NA,Topázio,NA,NA,NA,8.3,9.2,7.5,8.8,9.4,9.9,10,Fase 4,G,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,0,Fase 4 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
2021,ALUNO-161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
2021,ALUNO-714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713
2022,ALUNO-893,NA,NA,NA,0,5.606945333333334,NA,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,7.000000000000001,7.5,3.5,6.458333333333334,5.55556,10,Fase 2,P,NA,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,NA,NA,Fase 2 ,2022,0,773,144,10,7,0,NA,3,0,892
2022,ALUNO-1207,NA,NA,NA,0,7.940280666666667,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10,7.5,7.5,6.458333333333333,8.222226666666668,5,Fase 2,L,NA,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,NA,NA,Fase 3 ,2022,0,159,21,5,10,5,NA,3,0,1206
2020,ALUNO-495,FIAP,19,1,NA,8.651667,B,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,NA,7.91667,10,7.5,8.4,0,0,10,Fase 8,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494
2022,ALUNO-1111,NA,NA,NA,0,7.8747206434676444,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.217338217338218,7.5,7.75,5.3125,7.500005,10,ALFA,V,NA,Promovido de Fase,Mantido na Fase atual,NA,NA,NA,ALFA  ,2022,0,178,48,2,9.6,5.9,NA,2,0,1110
2021,ALUNO-150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149
2022,ALUNO-1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228
2021,ALUNO-51,Escola Pública,NA,NA,0,8.051,NA,Ametista,NA,NA,NA,9,9.2,7.5,5.4,7.7,8.6,10,Fase 1,F,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0,Fase 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
2022,ALUNO-1191,NA,NA,NA,0,8.180903944444445,NA,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,9.333333333333334,5,7.888888888888889,8.28125,8.2916725,10,Fase 4,F,NA,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,NA,Fase 4 ,2017,1,89,9,3,7.5,7.166666666666667,9,4,0,1190
2021,ALUNO-201,Escola Pública,NA,NA,0,5.636,NA,Ágata,NA,NA,NA,5.8,5.6,0,6.4,8.3,6.7,5,Fase 4,L,Veterano,Promovido de Fase,Promovido de Fase,Não avaliado,Promovido de Fase,-1,Fase 5 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200
2022,ALUNO-894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,893
2021,ALUNO-588,Escola Pública,NA,NA,0,8.881,NA,Topázio,NA,NA,NA,10,9.6,7.5,7.8,8.8,8.9,10,Fase 1,E,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,0,Fase 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587
2021,ALUNO-1323,Escola Pública,NA,NA,0,7.518,NA,Ametista,NA,NA,NA,8,8.8,5.6,5.1,7.9,7.9,10,Fase 2,N,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,0,Fase 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1322
2022,ALUNO-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
2020,ALUNO-142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
2020,ALUNO-737,Escola Pública,11,1,0,8.070001999999999,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,9.6,7.5,6.5,7.5,7.5,10,Fase 2,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736
2022,ALUNO-209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
2022,ALUNO-668,NA,NA,NA,0,6.658016026362202,NA,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.324793465144342,7.5,5.25,6.041666666666667,6.944443333333333,5,Fase 2,K,NA,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 3 ,2020,0,602,100,7,4,6.5,NA,3,0,667
2022,ALUNO-1275,NA,NA,NA,0,7.830771230769231,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.487179487179487,7.5,5.416666666666667,6.666666666666666,7.666666666666667,10,Fase 2,F,NA,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 2 ,2019,0,194,32,4,3.333333333333333,7.5,NA,3,0,1274
2020,ALUNO-811,Rede Decisão/União,11,2,0,8.196669,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,7.4,7.5,9,7.5,8.083335,10,Fase 2,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810
2020,ALUNO-694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693
2022,ALUNO-586,NA,NA,NA,0,7.454659477025898,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.314954051796157,7.5,6.333333333333334,6.25,7.5,5,Fase 2,K,NA,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 3 ,2020,0,334,50,4,6.5,6.166666666666667,NA,3,0,585
2021,ALUNO-711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710
2021,ALUNO-239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238
2020,ALUNO-147,Escola Pública,13,1,0,5.934724000000001,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8,7.5,0,7.291666666666667,7.277776666666666,5,Fase 2,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146
2022,ALUNO-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099
2022,ALUNO-389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388
2022,ALUNO-735,NA,NA,NA,0,6.820451258609487,NA,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.41668,7.268924626380766,5.625,5.916666666666666,5.625,7.083325,10,ALFA,J,NA,Mantido na Fase atual,Mantido na Fase atual,NA,NA,NA,ALFA  ,2022,0,549,156,11,6,5.833333333333333,NA,2,0,734
2022,ALUNO-572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571
2021,ALUNO-594,Escola Pública,NA,NA,0,7.476,NA,Ametista,NA,NA,NA,9.5,9.2,7.5,4.8,7.9,8.4,5,Fase 1,C,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,-2,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593
2022,ALUNO-403,NA,NA,NA,0,5.596878687216997,NA,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,5.284743991640544,6.25,3.944444444444445,7.34375,6.95833,10,Fase 4,B,NA,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,NA,Fase 4 ,2021,0,775,70,12,3.666666666666667,4.666666666666667,3.5,4,0,402
2020,ALUNO-887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886
2021,ALUNO-947,Escola Pública,NA,NA,0,7.31,NA,Ametista,NA,NA,NA,8.5,8.8,7.5,5.1,8.1,8.1,5,Fase 1,F,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1,Fase 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946
2020,ALUNO-522,Escola Pública,11,2,0,7.495419,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.3,7.5,6.5,7.1875,7.583335,5,Fase 1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521
2020,ALUNO-1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1067
2021,ALUNO-808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807
2021,ALUNO-890,Escola Pública,NA,NA,0,6.058,NA,Ágata,NA,NA,NA,10,5.3,7.5,2.3,7.2,5.4,10,Fase 3,R,Veterano,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,0,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889
2021,ALUNO-1197,Rede Decisão,NA,NA,0,8.04,NA,Ametista,NA,NA,NA,8.3,8.3,7.5,7.8,7.8,7.3,10,Fase 7,A,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,0,Fase 7 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196
2021,ALUNO-570,Escola Pública,NA,NA,0,5.049,NA,Quartzo,NA,NA,NA,9.5,3.3,7.5,2,7.7,5.1,5,Fase 1,R,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-2,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569
2021,ALUNO-866,Rede Decisão,NA,NA,1,8.846,NA,Topázio,NA,NA,NA,8.5,10,7.5,8.4,7.7,9,10,Fase 1,A,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0,Fase 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,865
